DATE;HOUR;FACT
01.03.2015;5;86,16
01.03.2015;6;47,28
01.03.2015;7;166,38
01.03.2015;8;297,3
01.03.2015;9;270,66
01.03.2015;10;180,78
01.03.2015;11;192,24
01.03.2015;12;3,78
01.03.2015;13;290,88
01.03.2015;14;274,5
01.03.2015;15;148,44
01.03.2015;16;397,62
01.03.2015;17;203,52
01.03.2015;18;115,98
01.03.2015;19;77,1
01.03.2015;20;136,8
01.03.2015;21;220,38
01.03.2015;22;162,36
01.03.2015;23;-29,52
02.03.2015;0;268,32
02.03.2015;1;289,56
02.03.2015;2;144,12
02.03.2015;3;123,66
02.03.2015;4;226,98
02.03.2015;5;193,56
02.03.2015;6;147,84
02.03.2015;7;185,46
02.03.2015;8;181,56
02.03.2015;9;238,14
02.03.2015;10;165,72
02.03.2015;11;199,86
02.03.2015;12;164,58
02.03.2015;13;214,2
02.03.2015;14;130,8
02.03.2015;15;-6,72
02.03.2015;16;111,54
02.03.2015;17;111,24
02.03.2015;18;157,92
02.03.2015;19;74,1
02.03.2015;20;265,38
02.03.2015;21;78,36
02.03.2015;22;290,7
02.03.2015;23;126,42
03.03.2015;0;288,36
03.03.2015;1;459,12
03.03.2015;2;42,66
03.03.2015;3;327,6
03.03.2015;4;96,6
03.03.2015;5;254,4
03.03.2015;6;190,38
03.03.2015;7;212,88
03.03.2015;8;131,94
03.03.2015;9;209,4
03.03.2015;10;213
03.03.2015;11;276,42
03.03.2015;12;33,78
03.03.2015;13;189,66
03.03.2015;14;308,28
03.03.2015;15;33,54
03.03.2015;16;241,38
03.03.2015;17;186,54
03.03.2015;18;124,5
03.03.2015;19;59,7
03.03.2015;20;117,78
03.03.2015;21;29,04
03.03.2015;22;121,44
03.03.2015;23;132,72
04.03.2015;0;136,62
04.03.2015;1;188,88
04.03.2015;2;367,86
04.03.2015;3;125,82
04.03.2015;4;114,42
04.03.2015;5;-449,28
04.03.2015;6;30,9
04.03.2015;7;90,48
04.03.2015;8;324,06
04.03.2015;9;154,5
04.03.2015;10;211,92
04.03.2015;11;99,48
04.03.2015;12;195,84
04.03.2015;13;322,62
04.03.2015;14;148,86
04.03.2015;15;180,72
04.03.2015;16;112,86
04.03.2015;17;155,82
04.03.2015;18;143,82
04.03.2015;19;144,3
04.03.2015;20;63,96
04.03.2015;21;113,16
04.03.2015;22;125,4
04.03.2015;23;19,98
05.03.2015;0;319,14
05.03.2015;1;247,62
05.03.2015;2;15,12
05.03.2015;3;100,44
05.03.2015;4;113,94
05.03.2015;5;191,1
05.03.2015;6;165,36
05.03.2015;7;113,04
05.03.2015;8;240,78
05.03.2015;9;144,84
05.03.2015;10;314,94
05.03.2015;11;248,64
05.03.2015;12;278,4
05.03.2015;13;282
05.03.2015;14;282,6
05.03.2015;15;296,16
05.03.2015;16;275,76
05.03.2015;17;242,22
05.03.2015;18;353,7
05.03.2015;19;4,14
05.03.2015;20;158,28
05.03.2015;21;166,14
05.03.2015;22;164,64
05.03.2015;23;190,8
06.03.2015;0;280,38
06.03.2015;1;283,44
06.03.2015;2;182,1
06.03.2015;3;26,94
06.03.2015;4;494,94
06.03.2015;5;321,36
06.03.2015;6;128,46
