Дата;Местное время Тверь;Потребление факт, МВтч;;;
15.01.2017;22:00-23:00;690;15.01.2017;22;690
15.01.2017;23:00-24:00;646;15.01.2017;23;646
16.01.2017;00:00-01:00;604;16.01.2017;0;604
16.01.2017;01:00-02:00;583;16.01.2017;1;583
16.01.2017;02:00-03:00;573;16.01.2017;2;573
16.01.2017;03:00-04:00;572;16.01.2017;3;572
16.01.2017;04:00-05:00;573;16.01.2017;4;573
16.01.2017;05:00-06:00;592;16.01.2017;5;592
16.01.2017;06:00-07:00;647;16.01.2017;6;647
16.01.2017;07:00-08:00;721;16.01.2017;7;721
16.01.2017;08:00-09:00;775;16.01.2017;8;775
16.01.2017;09:00-10:00;795;16.01.2017;9;795
16.01.2017;10:00-11:00;799;16.01.2017;10;799
16.01.2017;11:00-12:00;793;16.01.2017;11;793
16.01.2017;12:00-13:00;772;16.01.2017;12;772
16.01.2017;13:00-14:00;774;16.01.2017;13;774
16.01.2017;14:00-15:00;773;16.01.2017;14;773
16.01.2017;15:00-16:00;770;16.01.2017;15;770
16.01.2017;16:00-17:00;777;16.01.2017;16;777
16.01.2017;17:00-18:00;806;16.01.2017;17;806
16.01.2017;18:00-19:00;811;16.01.2017;18;811
16.01.2017;19:00-20:00;798;16.01.2017;19;798
16.01.2017;20:00-21:00;779;16.01.2017;20;779
16.01.2017;21:00-22:00;743;16.01.2017;21;743
16.01.2017;22:00-23:00;698;16.01.2017;22;698
16.01.2017;23:00-24:00;653;16.01.2017;23;653
17.01.2017;00:00-01:00;610;17.01.2017;0;610
17.01.2017;01:00-02:00;594;17.01.2017;1;594
17.01.2017;02:00-03:00;588;17.01.2017;2;588
17.01.2017;03:00-04:00;585;17.01.2017;3;585
17.01.2017;04:00-05:00;589;17.01.2017;4;589
17.01.2017;05:00-06:00;609;17.01.2017;5;609
17.01.2017;06:00-07:00;661;17.01.2017;6;661
17.01.2017;07:00-08:00;734;17.01.2017;7;734
17.01.2017;08:00-09:00;792;17.01.2017;8;792
17.01.2017;09:00-10:00;816;17.01.2017;9;816
17.01.2017;10:00-11:00;815;17.01.2017;10;815
17.01.2017;11:00-12:00;802;17.01.2017;11;802
17.01.2017;12:00-13:00;781;17.01.2017;12;781
17.01.2017;13:00-14:00;793;17.01.2017;13;793
17.01.2017;14:00-15:00;790;17.01.2017;14;790
17.01.2017;15:00-16:00;788;17.01.2017;15;788
17.01.2017;16:00-17:00;795;17.01.2017;16;795
17.01.2017;17:00-18:00;822;17.01.2017;17;822
17.01.2017;18:00-19:00;826;17.01.2017;18;826
17.01.2017;19:00-20:00;815;17.01.2017;19;815
17.01.2017;20:00-21:00;799;17.01.2017;20;799
17.01.2017;21:00-22:00;768;17.01.2017;21;768
17.01.2017;22:00-23:00;719;17.01.2017;22;719
17.01.2017;23:00-24:00;670;17.01.2017;23;670
18.01.2017;00:00-01:00;626;18.01.2017;0;626
18.01.2017;01:00-02:00;604;18.01.2017;1;604
18.01.2017;02:00-03:00;592;18.01.2017;2;592
18.01.2017;03:00-04:00;590;18.01.2017;3;590
18.01.2017;04:00-05:00;594;18.01.2017;4;594
18.01.2017;05:00-06:00;613;18.01.2017;5;613
18.01.2017;06:00-07:00;663;18.01.2017;6;663
18.01.2017;07:00-08:00;730;18.01.2017;7;730
18.01.2017;08:00-09:00;783;18.01.2017;8;783
18.01.2017;09:00-10:00;805;18.01.2017;9;805
18.01.2017;10:00-11:00;803;18.01.2017;10;803
18.01.2017;11:00-12:00;800;18.01.2017;11;800
18.01.2017;12:00-13:00;780;18.01.2017;12;780
18.01.2017;13:00-14:00;785;18.01.2017;13;785
18.01.2017;14:00-15:00;780;18.01.2017;14;780
18.01.2017;15:00-16:00;779;18.01.2017;15;779
18.01.2017;16:00-17:00;785;18.01.2017;16;785
18.01.2017;17:00-18:00;817;18.01.2017;17;817
18.01.2017;18:00-19:00;819;18.01.2017;18;819
18.01.2017;19:00-20:00;810;18.01.2017;19;810
18.01.2017;20:00-21:00;795;18.01.2017;20;795
18.01.2017;21:00-22:00;765;18.01.2017;21;765
18.01.2017;22:00-23:00;717;18.01.2017;22;717
18.01.2017;23:00-24:00;668;18.01.2017;23;668
19.01.2017;00:00-01:00;628;19.01.2017;0;628
19.01.2017;01:00-02:00;604;19.01.2017;1;604
19.01.2017;02:00-03:00;593;19.01.2017;2;593
19.01.2017;03:00-04:00;588;19.01.2017;3;588
19.01.2017;04:00-05:00;593;19.01.2017;4;593
19.01.2017;05:00-06:00;612;19.01.2017;5;612
19.01.2017;06:00-07:00;662;19.01.2017;6;662
19.01.2017;07:00-08:00;731;19.01.2017;7;731
19.01.2017;08:00-09:00;785;19.01.2017;8;785
19.01.2017;09:00-10:00;800;19.01.2017;9;800
19.01.2017;10:00-11:00;798;19.01.2017;10;798
19.01.2017;11:00-12:00;793;19.01.2017;11;793
19.01.2017;12:00-13:00;776;19.01.2017;12;776
19.01.2017;13:00-14:00;786;19.01.2017;13;786
19.01.2017;14:00-15:00;782;19.01.2017;14;782
19.01.2017;15:00-16:00;773;19.01.2017;15;773
19.01.2017;16:00-17:00;777;19.01.2017;16;777
19.01.2017;17:00-18:00;808;19.01.2017;17;808
19.01.2017;18:00-19:00;812;19.01.2017;18;812
19.01.2017;19:00-20:00;800;19.01.2017;19;800
19.01.2017;20:00-21:00;785;19.01.2017;20;785
19.01.2017;21:00-22:00;755;19.01.2017;21;755
19.01.2017;22:00-23:00;706;19.01.2017;22;706
19.01.2017;23:00-24:00;659;19.01.2017;23;659
20.01.2017;00:00-01:00;619;20.01.2017;0;619
20.01.2017;01:00-02:00;598;20.01.2017;1;598
20.01.2017;02:00-03:00;587;20.01.2017;2;587
20.01.2017;03:00-04:00;581;20.01.2017;3;581
20.01.2017;04:00-05:00;587;20.01.2017;4;587
20.01.2017;05:00-06:00;603;20.01.2017;5;603
20.01.2017;06:00-07:00;653;20.01.2017;6;653
20.01.2017;07:00-08:00;721;20.01.2017;7;721
