Дата;Местное время Тверь;Потребление факт, МВтч;DATE;HOUR;FACT
12.01.2016;12:00-13:00;854;12.01.2016;12;854
12.01.2016;13:00-14:00;857;12.01.2016;13;857
12.01.2016;14:00-15:00;854;12.01.2016;14;854
12.01.2016;15:00-16:00;855;12.01.2016;15;855
12.01.2016;16:00-17:00;859;12.01.2016;16;859
12.01.2016;17:00-18:00;879;12.01.2016;17;879
12.01.2016;18:00-19:00;875;12.01.2016;18;875
12.01.2016;19:00-20:00;863;12.01.2016;19;863
12.01.2016;20:00-21:00;847;12.01.2016;20;847
12.01.2016;21:00-22:00;820;12.01.2016;21;820
12.01.2016;22:00-23:00;770;12.01.2016;22;770
12.01.2016;23:00-24:00;720;12.01.2016;23;720
13.01.2016;00:00-01:00;676;13.01.2016;0;676
13.01.2016;01:00-02:00;644;13.01.2016;1;644
13.01.2016;02:00-03:00;630;13.01.2016;2;630
13.01.2016;03:00-04:00;625;13.01.2016;3;625
13.01.2016;04:00-05:00;626;13.01.2016;4;626
13.01.2016;05:00-06:00;644;13.01.2016;5;644
13.01.2016;06:00-07:00;691;13.01.2016;6;691
13.01.2016;07:00-08:00;754;13.01.2016;7;754
13.01.2016;08:00-09:00;807;13.01.2016;8;807
13.01.2016;09:00-10:00;827;13.01.2016;9;827
13.01.2016;10:00-11:00;834;13.01.2016;10;834
13.01.2016;11:00-12:00;830;13.01.2016;11;830
13.01.2016;12:00-13:00;812;13.01.2016;12;812
13.01.2016;13:00-14:00;816;13.01.2016;13;816
13.01.2016;14:00-15:00;813;13.01.2016;14;813
13.01.2016;15:00-16:00;813;13.01.2016;15;813
13.01.2016;16:00-17:00;818;13.01.2016;16;818
13.01.2016;17:00-18:00;847;13.01.2016;17;847
13.01.2016;18:00-19:00;849;13.01.2016;18;849
13.01.2016;19:00-20:00;836;13.01.2016;19;836
13.01.2016;20:00-21:00;818;13.01.2016;20;818
13.01.2016;21:00-22:00;792;13.01.2016;21;792
13.01.2016;22:00-23:00;748;13.01.2016;22;748
13.01.2016;23:00-24:00;704;13.01.2016;23;704
14.01.2016;00:00-01:00;664;14.01.2016;0;664
14.01.2016;01:00-02:00;635;14.01.2016;1;635
14.01.2016;02:00-03:00;619;14.01.2016;2;619
14.01.2016;03:00-04:00;609;14.01.2016;3;609
14.01.2016;04:00-05:00;610;14.01.2016;4;610
14.01.2016;05:00-06:00;628;14.01.2016;5;628
14.01.2016;06:00-07:00;676;14.01.2016;6;676
14.01.2016;07:00-08:00;741;14.01.2016;7;741
14.01.2016;08:00-09:00;797;14.01.2016;8;797
14.01.2016;09:00-10:00;809;14.01.2016;9;809
14.01.2016;10:00-11:00;813;14.01.2016;10;813
14.01.2016;11:00-12:00;805;14.01.2016;11;805
14.01.2016;12:00-13:00;789;14.01.2016;12;789
14.01.2016;13:00-14:00;798;14.01.2016;13;798
14.01.2016;14:00-15:00;794;14.01.2016;14;794
14.01.2016;15:00-16:00;793;14.01.2016;15;793
14.01.2016;16:00-17:00;804;14.01.2016;16;804
14.01.2016;17:00-18:00;837;14.01.2016;17;837
14.01.2016;18:00-19:00;839;14.01.2016;18;839
14.01.2016;19:00-20:00;828;14.01.2016;19;828
14.01.2016;20:00-21:00;815;14.01.2016;20;815
14.01.2016;21:00-22:00;790;14.01.2016;21;790
14.01.2016;22:00-23:00;745;14.01.2016;22;745
14.01.2016;23:00-24:00;701;14.01.2016;23;701
15.01.2016;00:00-01:00;663;15.01.2016;0;663
15.01.2016;01:00-02:00;633;15.01.2016;1;633
15.01.2016;02:00-03:00;623;15.01.2016;2;623
15.01.2016;03:00-04:00;620;15.01.2016;3;620
15.01.2016;04:00-05:00;625;15.01.2016;4;625
15.01.2016;05:00-06:00;645;15.01.2016;5;645
15.01.2016;06:00-07:00;691;15.01.2016;6;691
15.01.2016;07:00-08:00;764;15.01.2016;7;764
15.01.2016;08:00-09:00;828;15.01.2016;8;828
15.01.2016;09:00-10:00;851;15.01.2016;9;851
15.01.2016;10:00-11:00;854;15.01.2016;10;854
15.01.2016;11:00-12:00;847;15.01.2016;11;847
15.01.2016;12:00-13:00;825;15.01.2016;12;825
15.01.2016;13:00-14:00;823;15.01.2016;13;823
15.01.2016;14:00-15:00;819;15.01.2016;14;819
15.01.2016;15:00-16:00;811;15.01.2016;15;811
15.01.2016;16:00-17:00;818;15.01.2016;16;818
15.01.2016;17:00-18:00;857;15.01.2016;17;857
15.01.2016;18:00-19:00;864;15.01.2016;18;864
15.01.2016;19:00-20:00;856;15.01.2016;19;856
15.01.2016;20:00-21:00;843;15.01.2016;20;843
15.01.2016;21:00-22:00;819;15.01.2016;21;819
15.01.2016;22:00-23:00;780;15.01.2016;22;780
15.01.2016;23:00-24:00;735;15.01.2016;23;735
16.01.2016;00:00-01:00;694;16.01.2016;0;694
16.01.2016;01:00-02:00;666;16.01.2016;1;666
16.01.2016;02:00-03:00;651;16.01.2016;2;651
16.01.2016;03:00-04:00;644;16.01.2016;3;644
16.01.2016;04:00-05:00;642;16.01.2016;4;642
16.01.2016;05:00-06:00;649;16.01.2016;5;649
16.01.2016;06:00-07:00;668;16.01.2016;6;668
16.01.2016;07:00-08:00;700;16.01.2016;7;700
16.01.2016;08:00-09:00;739;16.01.2016;8;739
16.01.2016;09:00-10:00;764;16.01.2016;9;764
16.01.2016;10:00-11:00;787;16.01.2016;10;787
16.01.2016;11:00-12:00;791;16.01.2016;11;791
16.01.2016;12:00-13:00;784;16.01.2016;12;784
16.01.2016;13:00-14:00;776;16.01.2016;13;776
16.01.2016;14:00-15:00;768;16.01.2016;14;768
16.01.2016;15:00-16:00;764;16.01.2016;15;764
16.01.2016;16:00-17:00;784;16.01.2016;16;784
16.01.2016;17:00-18:00;830;16.01.2016;17;830
16.01.2016;18:00-19:00;831;16.01.2016;18;831
16.01.2016;19:00-20:00;817;16.01.2016;19;817
16.01.2016;20:00-21:00;802;16.01.2016;20;802
16.01.2016;21:00-22:00;781;16.01.2016;21;781
16.01.2016;22:00-23:00;750;16.01.2016;22;750
16.01.2016;23:00-24:00;707;16.01.2016;23;707
17.01.2016;00:00-01:00;665;17.01.2016;0;665
17.01.2016;01:00-02:00;634;17.01.2016;1;634
17.01.2016;02:00-03:00;617;17.01.2016;2;617
17.01.2016;03:00-04:00;608;17.01.2016;3;608
17.01.2016;04:00-05:00;606;17.01.2016;4;606
17.01.2016;05:00-06:00;613;17.01.2016;5;613
17.01.2016;06:00-07:00;626;17.01.2016;6;626
17.01.2016;07:00-08:00;646;17.01.2016;7;646
17.01.2016;08:00-09:00;672;17.01.2016;8;672
17.01.2016;09:00-10:00;694;17.01.2016;9;694
17.01.2016;10:00-11:00;715;17.01.2016;10;715
17.01.2016;11:00-12:00;718;17.01.2016;11;718
17.01.2016;12:00-13:00;715;17.01.2016;12;715
17.01.2016;13:00-14:00;711;17.01.2016;13;711
17.01.2016;14:00-15:00;708;17.01.2016;14;708
17.01.2016;15:00-16:00;710;17.01.2016;15;710
17.01.2016;16:00-17:00;735;17.01.2016;16;735
17.01.2016;17:00-18:00;786;17.01.2016;17;786
17.01.2016;18:00-19:00;798;17.01.2016;18;798
17.01.2016;19:00-20:00;792;17.01.2016;19;792
17.01.2016;20:00-21:00;784;17.01.2016;20;784
17.01.2016;21:00-22:00;761;17.01.2016;21;761
17.01.2016;22:00-23:00;721;17.01.2016;22;721
17.01.2016;23:00-24:00;679;17.01.2016;23;679
18.01.2016;00:00-01:00;643;18.01.2016;0;643
18.01.2016;01:00-02:00;619;18.01.2016;1;619
18.01.2016;02:00-03:00;607;18.01.2016;2;607
18.01.2016;03:00-04:00;604;18.01.2016;3;604
18.01.2016;04:00-05:00;609;18.01.2016;4;609
18.01.2016;05:00-06:00;631;18.01.2016;5;631
18.01.2016;06:00-07:00;684;18.01.2016;6;684
18.01.2016;07:00-08:00;758;18.01.2016;7;758
18.01.2016;08:00-09:00;818;18.01.2016;8;818
18.01.2016;09:00-10:00;841;18.01.2016;9;841
18.01.2016;10:00-11:00;843;18.01.2016;10;843
18.01.2016;11:00-12:00;837;18.01.2016;11;837
18.01.2016;12:00-13:00;818;18.01.2016;12;818
18.01.2016;13:00-14:00;820;18.01.2016;13;820
18.01.2016;14:00-15:00;817;18.01.2016;14;817
18.01.2016;15:00-16:00;811;18.01.2016;15;811
18.01.2016;16:00-17:00;815;18.01.2016;16;815
18.01.2016;17:00-18:00;845;18.01.2016;17;845
18.01.2016;18:00-19:00;849;18.01.2016;18;849
18.01.2016;19:00-20:00;836;18.01.2016;19;836
18.01.2016;20:00-21:00;822;18.01.2016;20;822
18.01.2016;21:00-22:00;796;18.01.2016;21;796
18.01.2016;22:00-23:00;749;18.01.2016;22;749
18.01.2016;23:00-24:00;703;18.01.2016;23;703
19.01.2016;00:00-01:00;660;19.01.2016;0;660
19.01.2016;01:00-02:00;635;19.01.2016;1;635
19.01.2016;02:00-03:00;623;19.01.2016;2;623
19.01.2016;03:00-04:00;619;19.01.2016;3;619
19.01.2016;04:00-05:00;622;19.01.2016;4;622
19.01.2016;05:00-06:00;642;19.01.2016;5;642
19.01.2016;06:00-07:00;692;19.01.2016;6;692
19.01.2016;07:00-08:00;766;19.01.2016;7;766
19.01.2016;08:00-09:00;824;19.01.2016;8;824
19.01.2016;09:00-10:00;839;19.01.2016;9;839
19.01.2016;10:00-11:00;836;19.01.2016;10;836
19.01.2016;11:00-12:00;828;19.01.2016;11;828
19.01.2016;12:00-13:00;809;19.01.2016;12;809
19.01.2016;13:00-14:00;810;19.01.2016;13;810
19.01.2016;14:00-15:00;804;19.01.2016;14;804
19.01.2016;15:00-16:00;801;19.01.2016;15;801
19.01.2016;16:00-17:00;808;19.01.2016;16;808
19.01.2016;17:00-18:00;840;19.01.2016;17;840
19.01.2016;18:00-19:00;846;19.01.2016;18;846
19.01.2016;19:00-20:00;834;19.01.2016;19;834
19.01.2016;20:00-21:00;818;19.01.2016;20;818
19.01.2016;21:00-22:00;791;19.01.2016;21;791
19.01.2016;22:00-23:00;743;19.01.2016;22;743
19.01.2016;23:00-24:00;697;19.01.2016;23;697
20.01.2016;00:00-01:00;655;20.01.2016;0;655
20.01.2016;01:00-02:00;633;20.01.2016;1;633
20.01.2016;02:00-03:00;620;20.01.2016;2;620
20.01.2016;03:00-04:00;615;20.01.2016;3;615
20.01.2016;04:00-05:00;618;20.01.2016;4;618
