fact,pred
154011,163799.15625
171887,173448.640625
174605,170865.765625
173248,172151.875
177353,169938.828125
164345,164260.78125
153967,154687.828125
179819,176543.859375
176629,171879.71875
182342,170917.59375
162225,152569.59375
150884,155280.53125
140542,152363.421875
132167,137239.53125
139552,141098.296875
138966,146820.078125
169420,163139.5625
166739,165035.203125
154166,164823.65625
153855,159647.171875
127773,148185.6875
125107,137154.609375
133401,140254.296875
142962,151320.8125
140911,163937.140625
153201,154604.21875
137035,141098.828125
135172,140214.046875
149208,153720.03125
160453,156507.8125
152965,159709.296875
155357,156885.734375
135028,147856.765625
126915,140269.6875
153332,161303.671875
181562,175787.328125
148345,149970.921875
136687,138900.3125
145734,140858.578125
162606,161679.453125
150967,163429.046875
140090,159745.40625
135820,142745.71875
131057,131913
136949,129269.578125
144308,143910.03125
142475,151826.875
131940,138748.578125
119514,131899.171875
130235,134289.9375
147154,148412.25
160496,159773.734375
169591,161283.375
117017,135930.96875
129589,146044.046875
154874,166557.6875
160913,157742.6875
149281,164309.671875
157278,161051.890625
161283,164613.625
137838,140311.15625
118405,131339.59375
149302,149204.84375
162839,163194.484375
151390,165920.375
124784,140977.921875
141600,138429.265625
150125,145874.921875
179888,167452.46875
164652,153465.3125
126636,130922.6484375
127456,130938.8828125
164874,157723.140625
165943,163186.859375
139892,148458.96875
139559,150784.921875
172488,159168.296875
156758,146112.171875
146174,136216.984375
140805,146357.765625
151891,158007.21875
165387,166874.09375
177033,170957.046875
171563,163618.203125
152917,143041.71875
151012,139397.140625
188439,175666.15625
167828,162501.828125
165511,159084.53125
141453,141564.25
137623,143716.09375
165461,166144.109375
170036,165101.640625
159859,150314.421875
137249,139895.09375
143339,136265.578125
162103,157691.84375
136090,132834.9375
140880,143999.265625
147027,151134.46875
162701,164461.734375
167100,163107.984375
169523,162808.65625
151933,149010.59375
143412,143702.390625
144696,136514.40625
156638,165597.578125
154034,161703.515625
153559,152466.03125
129390,148061.234375
141241,135777.828125
163844,160012.375
170536,168808.953125
171306,163140.796875
154578,144766.90625
141488,150843.03125
153180,168457.71875
158836,168597.546875
163340,157845.625
182415,157613.8125
179128,157361.34375
179820,156983.46875
173335,163544.109375
153980,151892.78125
148094,130041.265625
147106,145065.5625
155894,153666.09375
161278,163450.859375
175570,164131.125
154644,163204.140625
161986,160961.296875
152540,153019.421875
136651,139089.59375
122744,134742
185458,176272.65625
140763,135491.4375
152277,140985.84375
154055,151655.984375
165356,167171.640625
158583,155918.3125
158577,158038.125
156688,143665.53125
168180,176028.90625
156234,161889.90625
149354,164663.40625
132736,132512.671875
146184,139528.953125
142320,144403.984375
142620,154134.140625
155532,165163.84375
154062,163177.21875
154028,149236.296875
145916,131002.0859375
152449,159422.75
170886,175618.765625
156371,161117.640625
129362,141624.0625
145064,151511.421875
150821,161909.828125
161697,167084.296875
149423,160863.390625
147331,157798.515625
153296,149904.28125
151217,154144.578125
129393,136820.171875
123933,126434.109375
128745,128701.515625
137083,142879.75
143563,154678.546875
153896,159971.34375
149548,133839.765625
141854,140162.578125
141755,145845.84375
161224,161243.390625
138878,157814.3125
150053,143035.578125
148215,137053.671875
149034,152729.4375
162444,162632.0625
170195,158617.78125
149780,127740.515625
150210,139387.046875
144617,145570.15625
159046,161016.265625
165697,165629.484375
155314,162433.5
151325,165358.171875
134822,128075.4765625
153698,149714.265625
131128,138945.34375
132094,147749.640625
152482,153935.09375
163834,167467.953125
163845,161620.265625
160523,159751.046875
149532,151224.875
139942,145108.328125
155025,152465.3125
146748,147938.578125
143318,129340.484375
162995,159435.53125
131341,143124.8125
139911,147611.34375
140492,157396.3125
156517,162225.28125
143838,130583.4765625
139187,132038.984375
157011,154969.703125
171190,165916.09375
160641,162513.296875
147007,161767.6875
144615,145219.625
124969,127707.1328125
176888,177939.359375
151141,147640.203125
