date;fact
28.12.2017;269,776
28.12.2017;266,668
28.12.2017;267,567
28.12.2017;270,638
28.12.2017;270,657
28.12.2017;269,331
28.12.2017;270,586
28.12.2017;268,993
28.12.2017;269,648
28.12.2017;270,762
28.12.2017;271,345
28.12.2017;271,772
28.12.2017;271,141
28.12.2017;268,707
28.12.2017;270,576
28.12.2017;582,003
28.12.2017;540,923
28.12.2017;269,642
28.12.2017;272,370
28.12.2017;270,939
28.12.2017;270,876
28.12.2017;270,956
28.12.2017;270,232
28.12.2017;275,686
28.12.2017;270,304
28.12.2017;270,180
28.12.2017;270,292
28.12.2017;270,602
28.12.2017;271,232
28.12.2017;273,699
28.12.2017;270,965
28.12.2017;270,185
28.12.2017;270,141
28.12.2017;270,532
28.12.2017;271,155
28.12.2017;270,433
28.12.2017;268,121
28.12.2017;271,511
28.12.2017;268,381
28.12.2017;260,182
28.12.2017;276,411
27.12.2017;802,565
27.12.2017;268,627
27.12.2017;268,959
27.12.2017;269,369
27.12.2017;268,711
27.12.2017;269,382
27.12.2017;269,139
27.12.2017;269,205
27.12.2017;266,888
27.12.2017;268,633
27.12.2017;267,927
27.12.2017;267,585
27.12.2017;271,310
27.12.2017;266,311
27.12.2017;269,019
27.12.2017;266,824
27.12.2017;266,849
27.12.2017;267,121
27.12.2017;267,085
27.12.2017;269,081
27.12.2017;266,914
27.12.2017;266,957
27.12.2017;267,552
27.12.2017;266,823
27.12.2017;267,256
27.12.2017;266,741
27.12.2017;269,197
27.12.2017;266,687
27.12.2017;267,153
27.12.2017;267,352
27.12.2017;266,985
27.12.2017;266,601
27.12.2017;267,428
27.12.2017;271,644
27.12.2017;265,955
27.12.2017;268,155
27.12.2017;270,222
27.12.2017;266,367
27.12.2017;268,156
27.12.2017;268,527
27.12.2017;270,808
27.12.2017;271,682
27.12.2017;267,250
27.12.2017;269,733
27.12.2017;270,192
27.12.2017;272,174
27.12.2017;273,174
27.12.2017;219,663
27.12.2017;1,622
27.12.2017;1,821
27.12.2017;3,096
27.12.2017;2,718
27.12.2017;2,987
27.12.2017;3,762
27.12.2017;5,535
27.12.2017;3,965
27.12.2017;4,693
27.12.2017;2,291
27.12.2017;0,398
27.12.2017;1,748
27.12.2017;0,845
27.12.2017;0,123
27.12.2017;0,171
27.12.2017;3,104
27.12.2017;2,968
27.12.2017;0,326
27.12.2017;0,108
27.12.2017;0,096
27.12.2017;0,768
27.12.2017;0,633
27.12.2017;0,103
27.12.2017;0,098
27.12.2017;0,102
27.12.2017;0,100
27.12.2017;0,093
27.12.2017;0,451
27.12.2017;0,140
27.12.2017;0,628
27.12.2017;0,102
27.12.2017;0,103
27.12.2017;1,250
27.12.2017;0,598
27.12.2017;0,271
27.12.2017;0,490
27.12.2017;0,292
27.12.2017;0,446
27.12.2017;0,457
27.12.2017;0,391
27.12.2017;0,090
27.12.2017;0,089
27.12.2017;0,111
27.12.2017;0,089
27.12.2017;2,724
27.12.2017;264,305
27.12.2017;269,185
27.12.2017;263,781
27.12.2017;264,182
27.12.2017;263,787
27.12.2017;264,778
27.12.2017;264,652
27.12.2017;265,206
27.12.2017;265,150
27.12.2017;266,064
27.12.2017;266,239
27.12.2017;266,385
27.12.2017;267,276
27.12.2017;265,479
27.12.2017;265,729
27.12.2017;265,606
27.12.2017;266,477
27.12.2017;266,676
27.12.2017;265,675
27.12.2017;266,753
27.12.2017;265,879
27.12.2017;267,222
27.12.2017;265,780
27.12.2017;266,444
27.12.2017;267,611
27.12.2017;265,898
27.12.2017;266,841
27.12.2017;266,602
27.12.2017;266,731
27.12.2017;266,272
27.12.2017;267,102
27.12.2017;267,444
27.12.2017;266,028
27.12.2017;267,790
27.12.2017;268,292
27.12.2017;265,999
27.12.2017;267,888
27.12.2017;268,490
27.12.2017;269,205
27.12.2017;267,617
27.12.2017;271,091
27.12.2017;267,310
27.12.2017;266,463
27.12.2017;267,916
27.12.2017;267,783
27.12.2017;268,062
27.12.2017;268,745
27.12.2017;269,053
27.12.2017;265,879
27.12.2017;260,455
27.12.2017;273,060
26.12.2017;563,939
26.12.2017;268,245
26.12.2017;265,321
26.12.2017;267,144
26.12.2017;266,389
26.12.2017;268,204
26.12.2017;267,554
26.12.2017;264,840
26.12.2017;265,927
26.12.2017;265,898
26.12.2017;265,800
26.12.2017;264,731
26.12.2017;267,540
26.12.2017;262,414
26.12.2017;263,376
26.12.2017;263,204
26.12.2017;263,327
26.12.2017;264,963
26.12.2017;264,107
26.12.2017;266,023
26.12.2017;263,461
26.12.2017;264,623
26.12.2017;264,358
26.12.2017;264,743
26.12.2017;269,976
26.12.2017;264,518
26.12.2017;266,269
26.12.2017;265,856
26.12.2017;266,025
26.12.2017;266,078
26.12.2017;265,692
26.12.2017;265,963
26.12.2017;265,907
26.12.2017;268,372
26.12.2017;266,037
26.12.2017;266,167
26.12.2017;281,922
26.12.2017;283,804
26.12.2017;281,640
26.12.2017;280,131
26.12.2017;281,141
26.12.2017;277,392
26.12.2017;276,265
26.12.2017;274,315
26.12.2017;270,642
26.12.2017;269,638
26.12.2017;269,305
26.12.2017;242,624
26.12.2017;1,292
26.12.2017;0,970
26.12.2017;1,336
26.12.2017;1,740
26.12.2017;2,787
26.12.2017;2,746
26.12.2017;2,830
26.12.2017;2,552
26.12.2017;2,555
26.12.2017;1,160
26.12.2017;1,049
26.12.2017;0,449
26.12.2017;0,110
26.12.2017;0,107
26.12.2017;0,109
26.12.2017;0,115
26.12.2017;0,112
26.12.2017;0,098
26.12.2017;0,123
26.12.2017;0,103
26.12.2017;0,108
26.12.2017;0,115
26.12.2017;0,671
26.12.2017;0,979
26.12.2017;0,121
26.12.2017;0,099
26.12.2017;0,111
26.12.2017;0,183
26.12.2017;0,111
26.12.2017;0,125
26.12.2017;0,660
26.12.2017;0,233
26.12.2017;1,100
26.12.2017;2,327
26.12.2017;1,667
26.12.2017;0,238
26.12.2017;0,122
26.12.2017;0,259
26.12.2017;0,126
26.12.2017;0,092
26.12.2017;0,103
26.12.2017;0,116
26.12.2017;0,105
26.12.2017;0,101
26.12.2017;2,333
26.12.2017;261,299
26.12.2017;260,671
26.12.2017;259,591
26.12.2017;259,637
26.12.2017;261,181
26.12.2017;260,078
26.12.2017;258,537
26.12.2017;259,351
26.12.2017;260,104
26.12.2017;258,454
26.12.2017;259,015
